sub,harm1,harm2,harm3,fairness1,fairness2,fairness3,Ingroup1,Ingroup2,Ingroup3,Authority1,Authority2,Authority3,Purity1,Purity2,Purity3,sise,E,A_R,C,N_R,O,E_R,A,C_R,N,O_R,mood,subjwell,cogref.1,cogref.2,cogref.3,politics,Country,Weird,Execution
203,5,4,5,4,5,4,4,5,4,2,4,3,3,3,5,4,5,5,6,6,6,2,6,5,6,1,2,7,0,1,0,4,Canada,1,illegal
2155,4,3,4,4,3,3,2,4,3,4,4,4,3,3,3,2,5,3,2,2,4,1,2,2,2,5,3,8,0,1,0,4,South Africa,0,illegal
2257,5,4,4,5,5,5,4,5,4,1,3,1,2,2,4,4,5,7,5,3,7,3,3,5,2,1,3,6,1,0,0,5,USA,1,legal
2348,5,4,5,4,5,5,5,5,6,3,4,5,5,5,5,2,5,1,7,5,5,4,7,1,2,1,3,6,0,0,0,6,USA,1,legal
6906,6,6,6,6,6,6,2,3,2,3,4,2,4,4,4,2,2,4,5,5,6,6,5,5,5,6,4,7,0,0,0,6,The Netherlands,1,illegal
3810,6,6,6,4,6,5,4,4,4,1,3,1,3,3,4,4,7,5,6,6,5,5,7,7,6,1,2,6,0,0,0,2,USA,1,legal
1270,6,2,6,6,4,6,5,1,3,1,6,1,6,5,6,3,2,NA,2,NA,3,NA,1,NA,2,NA,3,7,0,0,0,5,USA,1,legal
2108,3,3,4,5,3,3,4,4,4,3,3,4,3,3,3,3,3,3,3,2,7,7,7,5,4,5,4,8,1,0,0,4,India,0,legal
2684,2,2,3,3,1,3,4,3,1,2,4,2,3,3,2,5,7,1,7,2,5,5,6,1,4,1,5,10,0,0,0,4,India,0,legal
1810,4,4,5,4,4,5,3,2,4,4,4,4,4,5,4,3,6,4,4,1,4,1,1,1,6,4,5,9,0,0,0,5,India,0,legal
7075,4,6,5,4,6,3,6,6,3,3,3,2,3,3,6,2,NA,NA,3,6,4,6,6,5,3,4,4,7,1,0,0,4,Canada,1,illegal
5711,5,5,4,5,6,5,4,5,5,3,4,4,5,6,4,3,6,5,7,5,5,4,4,3,4,4,4,8,0,0,0,4,USA,1,legal
574,6,6,4,6,4,6,5,4,1,1,6,3,6,4,1,4,4,5,5,5,6,4,5,6,5,6,2,5,0,0,0,4,Canada,1,illegal
6330,5,5,6,6,5,6,5,5,4,5,6,6,4,4,6,NA,5,4,5,2,6,6,6,2,6,2,4,8,0,0,0,4,USA,1,legal
1583,5,5,5,5,5,5,4,4,3,4,5,2,3,3,4,3,5,3,5,3,5,4,5,3,5,2,4,10,1,0,0,4,Belgium,1,illegal
5679,5,4,5,5,6,6,5,4,6,4,4,6,5,6,6,2,6,5,7,6,6,6,7,6,2,1,3,7,1,0,0,4,USA,1,legal
498,6,5,5,5,5,5,4,5,4,5,3,3,1,4,4,3,5,6,4,5,5,5,6,2,3,4,3,6,0,0,0,7,USA,1,legal
2526,6,6,6,6,6,6,6,6,6,1,4,6,1,6,1,5,7,1,7,1,7,1,7,1,7,1,3,9,0,0,0,2,USA,1,legal
2238,5,4,3,5,5,6,6,4,4,5,6,4,3,4,5,4,6,1,7,1,3,3,7,2,4,2,3,6,1,0,0,2,The Netherlands,1,illegal
3086,5,6,4,6,5,5,5,5,6,4,4,5,3,4,3,4,7,5,5,5,6,2,7,4,3,4,4,6,0,0,0,1,Sweden,1,illegal
1937,6,6,6,5,4,6,5,4,4,3,5,5,4,4,4,3,6,5,6,3,6,2,6,2,4,4,4,7,0,0,0,4,Germany,1,illegal
5049,6,6,6,4,6,6,6,3,5,4,5,5,5,4,6,4,6,6,7,2,6,5,6,3,5,4,2,4,0,0,0,3,The Netherlands,1,illegal
3261,5,5,5,5,5,5,4,5,5,3,5,4,5,5,5,4,6,1,6,5,6,2,7,1,5,2,3,5,0,0,0,2,USA,1,legal
3127,5,4,5,5,5,4,4,3,4,2,4,4,3,5,5,1,7,5,6,2,7,2,6,6,5,3,3,8,0,0,0,1,Sweden,1,illegal
1014,5,4,4,5,4,6,6,4,5,4,5,4,5,3,3,4,5,6,6,4,5,4,5,4,5,4,3,7,0,0,0,4,China,0,legal
890,5,3,3,2,5,3,5,4,3,3,2,6,2,4,5,4,3,2,7,6,3,6,6,6,4,5,3,6,0,0,0,4,China,0,legal
861,5,4,6,4,4,4,5,4,3,3,6,3,5,3,6,4,5,5,4,5,6,4,5,4,4,3,3,8,0,0,0,4,China,0,legal
3201,6,5,6,5,6,5,4,2,5,1,4,3,6,6,4,4,7,2,5,1,6,1,4,1,6,2,3,4,1,0,0,3,China,0,legal
1111,5,5,5,4,5,4,4,4,4,4,4,3,3,4,3,3,5,4,6,5,4,3,4,5,3,4,3,7,0,0,0,4,China,0,legal
5428,5,4,5,3,4,5,5,4,3,2,4,4,4,5,4,1,5,3,2,1,4,4,6,2,5,4,4,6,1,1,0,3,Taiwan,0,legal
5680,6,4,4,6,6,6,5,5,4,5,5,4,5,4,5,4,6,3,5,5,7,2,6,5,5,3,3,8,0,1,0,4,Czech Republic,1,illegal
2494,5,3,2,5,4,4,5,5,4,4,4,5,3,4,2,4,7,1,4,1,6,3,4,1,6,3,3,7,1,0,0,2,Uruguay,0,illegal
1528,5,5,4,4,5,6,5,3,5,2,4,3,4,4,3,2,5,2,6,2,4,3,5,2,4,2,2,8,0,0,0,4,Mexico,0,illegal
1341,4,3,3,3,5,3,4,3,3,2,4,4,3,4,3,5,4,7,7,1,5,3,2,1,7,1,3,8,0,1,0,5,Japan,0,legal
1772,4,4,3,2,4,2,2,1,3,2,3,3,2,4,2,4,5,6,5,2,5,5,4,5,6,3,3,7,1,0,0,2,Serbia,0,NA
1142,4,3,3,3,3,3,4,3,2,5,5,3,2,3,5,4,2,5,7,3,5,5,6,1,4,2,1,4,0,0,0,4,Japan,0,legal
782,5,5,6,4,5,5,4,2,4,2,5,5,4,6,4,2,2,3,4,3,4,4,5,5,4,5,3,8,0,0,0,5,Chile,1,illegal
4270,4,4,4,5,6,5,5,5,5,4,4,4,5,4,6,4,3,5,2,4,5,3,6,5,5,4,4,9,0,0,0,2,Costa Rica,0,illegal
6749,5,4,6,5,6,5,3,2,3,5,4,1,2,2,2,2,1,5,6,6,6,7,7,3,2,1,4,10,0,0,0,7,USA,1,legal
